Start_Timestamp,End_Context_Timestamp,End_Prediction_Timestamp,Past_Energy,Future_Energy,Electricity_Price,User_Comfort_Level,Renewable_Availability
1/1/2025 0:00,1/1/2025 21:15,1/2/2025 2:45,"[0.3513673385812441, 0.28948446102743774, 0.36833962779269236, 0.2595895709150476, 0.07644355462529007, 0.013969149565454794, 0.0005915275060290302, 0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668]","[0.058652227328570776, 0.05742367020066432, 0.09737452791554807, 0.13746189197797698, 0.08408791008781909, 0.06170086909041271, 0.05223642899394821, 0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014]",-0.0061,Medium,0.396
1/1/2025 0:15,1/1/2025 21:30,1/2/2025 3:00,"[0.28948446102743774, 0.36833962779269236, 0.2595895709150476, 0.07644355462529007, 0.013969149565454794, 0.0005915275060290302, 0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776]","[0.05742367020066432, 0.09737452791554807, 0.13746189197797698, 0.08408791008781909, 0.06170086909041271, 0.05223642899394821, 0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478]",-0.0061,Medium,0.6
1/1/2025 0:30,1/1/2025 21:45,1/2/2025 3:15,"[0.36833962779269236, 0.2595895709150476, 0.07644355462529007, 0.013969149565454794, 0.0005915275060290302, 0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432]","[0.09737452791554807, 0.13746189197797698, 0.08408791008781909, 0.06170086909041271, 0.05223642899394821, 0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348]",-0.0061,Medium,0.539
1/1/2025 0:45,1/1/2025 22:00,1/2/2025 3:30,"[0.2595895709150476, 0.07644355462529007, 0.013969149565454794, 0.0005915275060290302, 0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432, 0.09737452791554807]","[0.13746189197797698, 0.08408791008781909, 0.06170086909041271, 0.05223642899394821, 0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348, 0.140055512581335]",0.025,High,0.51
1/1/2025 1:00,1/1/2025 22:15,1/2/2025 3:45,"[0.07644355462529007, 0.013969149565454794, 0.0005915275060290302, 0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432, 0.09737452791554807, 0.13746189197797698]","[0.08408791008781909, 0.06170086909041271, 0.05223642899394821, 0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348, 0.140055512581335, 0.22332438458388318]",0.025,Medium,0.432
1/1/2025 1:15,1/1/2025 22:30,1/2/2025 4:00,"[0.013969149565454794, 0.0005915275060290302, 0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432, 0.09737452791554807, 0.13746189197797698, 0.08408791008781909]","[0.06170086909041271, 0.05223642899394821, 0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348, 0.140055512581335, 0.22332438458388318, 0.2640942803840378]",0.025,High,0.526
1/1/2025 1:30,1/1/2025 22:45,1/2/2025 4:15,"[0.0005915275060290302, 0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432, 0.09737452791554807, 0.13746189197797698, 0.08408791008781909, 0.06170086909041271]","[0.05223642899394821, 0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348, 0.140055512581335, 0.22332438458388318, 0.2640942803840378, 0.26404877826818945]",0.025,Medium,0.64
1/1/2025 1:45,1/1/2025 23:00,1/2/2025 4:30,"[0.07867315830186104, 0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432, 0.09737452791554807, 0.13746189197797698, 0.08408791008781909, 0.06170086909041271, 0.05223642899394821]","[0.04645766028120307, 0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348, 0.140055512581335, 0.22332438458388318, 0.2640942803840378, 0.26404877826818945, 0.2807025526686991]",0.0612,Medium,0.469
1/1/2025 2:00,1/1/2025 23:15,1/2/2025 4:45,"[0.08044774081994811, 0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432, 0.09737452791554807, 0.13746189197797698, 0.08408791008781909, 0.06170086909041271, 0.05223642899394821, 0.04645766028120307]","[0.0864540201119352, 0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348, 0.140055512581335, 0.22332438458388318, 0.2640942803840378, 0.26404877826818945, 0.2807025526686991, 0.3431769577285344]",0.0612,Medium,0.614
1/1/2025 2:15,1/1/2025 23:30,1/2/2025 5:00,"[0.05278245438412885, 0.0005460253901806431, 0.0004550211584838698, 0.0005005232743322565, 0.0065978067980161075, 0.08276834872821585, 0.07967420485052554, 0.03185148109387086, 0.0005915275060290302, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.08285935295991263, 0.0795376985029804, 0.036902215953041814, 0.0005460253901806431, 0.0005460253901806431, 0.0004095190426354823, 0.0004550211584838698, 0.05118988032943531, 0.0798107111980707, 0.05819720617008691, 0.0005005232743322565, 0.0005915275060290302, 0.0006370296218774173, 0.000682531737725804, 0.006688811029712881, 0.08249533603312555, 0.07921918369204167, 0.016062246894480593, 0.0005915275060290302, 0.0005005232743322565, 0.0005460253901806431, 0.0005005232743322565, 0.040542385220912774, 0.08012922600900942, 0.05796969559084497, 0.0004095190426354823, 0.0004550211584838698, 0.0005915275060290302, 0.000728033853574191, 0.0006370296218774173, 0.06224689448059334, 0.07994721754561587, 0.04208945715975793, 0.000682531737725804, 0.000728033853574191, 0.0007735359694225786, 0.0005915275060290302, 0.0006370296218774173, 0.17754925604040583, 0.2776084087910088, 0.1299540428629931, 0.0008190380852709652, 0.0007735359694225786, 0.04714019201892888, 0.09337034172089002, 0.08872912590435456, 0.08554397779496746, 0.08340537835009328, 0.011375528962096735, 0.0005005232743322565, 0.0002730126950903219, 0.000728033853574191, 0.0005915275060290302, 0.08049324293579652, 0.08208581699049006, 0.059061746371206265, 0.0006370296218774173, 0.000682531737725804, 0.0005460253901806431, 0.0006370296218774173, 0.022933066387587023, 0.14096555489830273, 0.1400100104654866, 0.12089912180916412, 0.3041816444464668, 0.058652227328570776, 0.05742367020066432, 0.09737452791554807, 0.13746189197797698, 0.08408791008781909, 0.06170086909041271, 0.05223642899394821, 0.04645766028120307, 0.0864540201119352]","[0.08349638258179005, 0.035719160940983756, 0.03494562497156117, 0.03499112708740956, 0.03490012285571279, 0.10033216544569323, 0.11498384674887381, 0.11357328115757381, 0.05778768712745142, 0.0365837011421031, 0.03499112708740957, 0.03499112708740957, 0.5528507075579014, 0.21904718569413478, 0.2176366201028348, 0.140055512581335, 0.22332438458388318, 0.2640942803840378, 0.26404877826818945, 0.2807025526686991, 0.3431769577285344, 0.3573736178732311]",0.0612,High,0.584
