Dataset,Model,MAE,RMSE,R2_Score,Train_Time_sec
Original,XGBoost,408.08233642578125,590.8312470579057,-0.02037811279296875,0.06438541412353516
Original,RandomForest,424.5571666666667,589.2496520154491,-0.014922592084311903,0.2416539192199707
Original,SVR,393.33168056066927,599.187624599094,-0.04944557475730038,0.001954317092895508
Original,Stacking,490.3942623365099,683.7816851037795,-0.3666873633044794,2.78743577003479
LWT_L1,XGBoost,464.49940146169354,632.3014175653009,-0.16864488203252237,0.45531749725341797
LWT_L1,RandomForest,422.3449301075269,587.2997028326364,-0.008216528081641306,0.3286862373352051
LWT_L1,SVR,393.4879664062572,600.6729013851265,-0.05465479128319939,0.002065420150756836
LWT_L1,Stacking,476.1589835181907,681.2649576244048,-0.3566454161222512,3.3815510272979736
LWT_L2,XGBoost,412.7253142326109,591.0324416144472,-0.02107322999261818,0.2269442081451416
LWT_L2,RandomForest,404.0292204301075,556.3520632031416,0.09523944895736502,0.2949378490447998
LWT_L2,SVR,393.2508381177717,601.6801841058287,-0.05819490861836596,0.0017719268798828125
LWT_L2,Stacking,428.9408503208547,612.74590292329,-0.09747612871297173,2.294651746749878
