Year,Tmax31,Tmax32,Tmax33,Tmax34,Tmax35,Tmax36,Tmax37,Tmax38,Tmax39,Tmin31,Tmin32,Tmin33,Tmin34,Tmin35,Tmin36,Tmin37,Tmin38,Tmin39,Rain28,Rain29,Rain30,Rain31,Rain32,Rain33,Rain34,Rain35,Rain36,RHI28,RHI29,RHI30,RHI31,RHI32,RHI33,RHI34,RHI35,RHI36,RHII28,RHII29,RHII30,RHII31,RHII32,RHII33,RHII34,RHII35,RHII36,Yield,District_Belagavi,District_ChickkaManglur,District_Dakshinakannada,District_Davanagere,District_Hassan,District_Kodagu,District_Mysuru,District_Shivamogga,District_Udupi,District_Uttarkannada
1985,1.208261424,1.500591928,1.430816492,1.896684061,1.814612171,1.938231558,1.538845229,2.530268391,2.440882485,0.660165,0.662032582,0.478176693,1.159848919,0.630189393,0.523739665,1.046713368,1.215660344,0.440629179,-0.911713432,-0.823844149,-0.778889231,-0.785542754,-0.470083131,-0.644147591,0.282801568,0.575970814,-0.462145583,-2.200680473,-3.276889854,-2.276640885,-2.196313118,-1.559402635,-1.996908007,-2.038788245,-2.162645114,-1.1601394,-2.779565562,-2.929163961,-2.122002842,-2.217172486,-2.17851869,-2.381177627,-2.014494928,-2.745276913,-1.657737332,2724,0,0,0,0,0,0,0,0,0,0
1986,1.463716736,1.025005852,0.488311782,1.523758705,2.672150412,2.086386274,1.500546702,0.917824949,0.985756867,0.516253598,0.486247909,0.345466862,1.24907974,0.542774587,0.299736957,0.701381646,0.399473003,0.93285535,-0.686959319,-0.909867526,-0.787041887,-0.846065626,-0.830184662,-0.666327136,-0.633794557,1.451084852,-0.481780801,-2.400393604,-1.790115177,-1.476879827,-2.095772575,-2.148070795,-2.00956383,-1.754990404,-1.314177547,-1.643736428,-2.711176366,-2.230203133,-1.2911713,-2.209653873,-3.2907088,-2.897469378,-2.297527561,-0.589378753,-0.548650671,2715,0,0,0,0,0,0,0,0,0,0
1987,3.178916691,1.500591928,1.430816492,1.35424718,1.31438153,1.419690051,1.960129024,1.930289436,1.551639052,1.955367612,0.662032582,0.964779406,1.29369515,0.936141215,1.24054833,1.521544484,1.301574801,0.93285535,-0.306327353,-0.463519815,-0.607683454,-0.846065626,-0.818813035,-0.58804639,-0.765442116,-0.578906776,-0.449055437,-2.952541674,-1.753555144,-1.983770638,-1.816493286,-2.520493509,-2.427205975,-2.844774113,-2.325811954,-1.414027839,-4.07896029,-2.11219676,-2.370395777,-1.841241836,-2.05762846,-2.237293041,-2.344699667,-2.010850067,-1.544400009,2602,0,0,0,0,0,0,0,0,0,0
1988,1.025793344,1.874266703,1.565460022,1.727172536,0.528304809,1.123380618,1.04096438,0.542838102,0.500714994,1.043928737,1.497009778,1.274435678,1.115233508,0.455359781,0.792542914,0.485549321,0.528344688,0.261637844,-0.99962129,-0.934213765,-0.434847145,-0.846065626,2.00008702,-0.666327136,0.518121579,-0.783611815,-0.107075387,-2.188932642,-2.606622582,-2.06262032,-2.039916717,-1.379198096,-1.073032958,-1.300913858,-1.357688705,-0.652362521,-2.535318433,-2.375441747,-1.582390603,-1.510422863,-0.663361148,-1.560189106,-0.976708607,-0.478819873,-1.277247747,2506,0,0,0,0,0,0,0,0,0,0
1990,1.755665665,1.126917154,0.353668252,0.506689553,0.77842013,0.827071185,1.117561434,1.930289436,0.864496399,1.571603875,1.101494264,0.610886524,0.981387277,0.805019006,0.792542914,0.787714577,0.957916973,0.977603183,-1.031340621,-0.187595775,-0.640294078,-0.846065626,-0.830184662,-0.601093181,-0.765442116,-0.783611815,-0.776309075,-2.694089386,-1.972915342,-1.893656716,-2.196313118,-2.34028897,-2.034875475,-1.448488736,-2.380200901,-2.224052861,-2.867494529,-1.258919905,-1.145561648,-1.284864473,-1.574067543,-1.560189106,-1.723600278,-2.058232444,-1.422967163,3117,0,0,0,0,0,0,0,0,0,0
1991,1.500210352,1.330739758,1.094207667,1.150833349,1.27865077,1.827115521,1.194158488,0.805328895,0.783656087,0.756105934,0.2225709,0.433940082,0.713694814,0.236822766,0.792542914,0.528715786,0.098772403,0.57487268,-0.845555971,-0.917982939,-0.735680154,-0.846065626,-0.772063012,-0.715904943,-0.696327147,2.529198053,-0.809034438,-2.282915292,-1.851048566,-2.06262032,-2.006403202,-1.979879892,-3.42701596,-1.959324849,-1.509977755,-2.695559963,-1.50948049,-1.476777825,-1.582390603,-1.615683445,-1.517652102,-2.254220639,-1.299051328,-1.197452593,-1.123432809,2704,0,0,0,0,0,0,0,0,0,0
1993,0.879818879,1.704414532,1.296172962,1.828879451,1.02853545,1.049303259,1.692039336,1.180315742,1.26869796,-1.690387889,-1.051867979,-1.379760941,-1.69553735,-1.817425179,-1.761087956,-1.241109285,-1.748388423,-1.796762507,-0.976964626,-0.916359857,-0.616651375,-0.752426466,-0.178211364,-0.744607883,-0.765442116,-0.527730517,0.352715974,-2.341654448,-2.643182615,-1.61205071,-2.151628432,-0.778516299,-2.161433701,-1.86850954,-1.509977755,-2.151513307,-2.349690615,-3.056247748,-1.925001548,-2.495361168,-1.372583827,-1.560189106,-2.14028721,-0.826290638,-1.738692563,2829,0,0,0,0,0,0,0,0,0,0
1995,1.974627361,1.976178005,1.767425317,1.35424718,1.17145849,1.419690051,1.232457014,1.255313112,1.430378584,1.475662941,1.453063609,1.318672289,0.713694814,1.329507843,1.106146705,1.003546902,0.957916973,1.290838019,-1.040403287,-0.784890167,-0.71040692,-0.599406374,-0.266657354,-0.666327136,-0.469235109,-0.425377998,-0.661770302,-1.965723848,-1.911981954,-2.040091839,-1.972889688,-1.559402635,-2.414550153,-1.857157627,-1.564366702,-1.812995387,-2.740486021,-2.774847934,-2.062045926,-1.593127606,-1.074387928,-1.983379065,-1.637118084,-1.789732307,-1.900603024,3242,0,0,0,0,0,0,0,0,0,0
1996,1.828652897,1.534562362,1.127868549,0.879614909,1.31438153,0.678916468,1.155859961,1.217814427,1.592059208,1.619574342,1.277278937,1.230199068,0.356771531,-1.292936342,-1.716287415,-1.456941611,-1.275858909,-1.528275504,-1.040403287,-0.711851451,-0.628880359,-0.693045535,0.452282194,-0.547601337,-0.693035959,-0.783611815,-0.547231529,-2.811567699,-2.033848731,-1.217802301,-0.487123874,-1.283089008,-0.212437022,-0.642502867,-1.43383323,-0.894161035,-2.857724643,-2.348209507,-1.556694782,-1.142010826,-1.686898423,-1.153926745,-1.464153697,-1.726555804,-1.172005947,3202,0,0,0,0,0,0,0,0,0,0
1997,1.901640129,2.417793647,1.969390612,1.862781756,2.100458252,2.604927782,2.113323131,2.717761815,1.955840613,-1.83429929,-1.798952838,-2.043310096,-1.873998992,-2.079669597,-1.985090664,-1.931772728,-1.705431194,-2.020501675,-1.004152623,-0.861175049,-0.681057358,-0.834646216,-0.830184662,-0.637624196,-0.712783092,-0.694906298,-0.766491466,-2.752828542,-2.521315838,-1.871128235,-2.464421235,-2.628616233,-2.250024459,-1.925269108,-2.010356064,-2.066883827,-2.799105332,-2.43898364,-2.25904722,-1.833723223,-2.766851139,-2.787439988,-2.501940019,-2.634718033,-2.272997085,2989,0,0,0,0,0,0,0,0,0,0
