Time,Speed,Reduced
1,7.343,7.343
2,8.013,9.385
3,8.293,11.627
4,8.75,10.747
5,9.061,9.044
6,9.296,8.61
7,9.264,8.661
8,9.262,9.332
9,9.385,9.823
10,9.768,8.653
11,10.094,6.119
12,10.353,8.87
13,10.668,8.636
14,10.948,7.519
15,11.326,7.679
16,11.636,6.993
17,11.627,6.652
18,11.51,6.358
19,11.7,7.812
20,11.738,6.051
21,11.552,5.841
22,11.356,5.611
23,11.232,6.16
24,11.076,7.537
25,10.747,8.962
26,10.455,8.713
27,10.231,8.076
28,9.991,7.951
29,9.756,5.52
30,9.54,5.557
31,9.321,4.707
32,9.145,5.14
33,9.044,5.735
34,9.007,6.596
35,8.956,7.046
36,8.887,7.861
37,8.87,7.721
38,8.854,6.72
39,8.773,7.412
40,8.692,7.66
41,8.61,9.799
42,8.531,13.201
43,8.537,14.75
44,8.589,12.912
45,8.613,10.561
46,8.587,14.466
47,8.561,13.332
48,8.606,13.669
49,8.661,15.436
50,8.655,20.191
51,8.677,20.275
52,8.81,11.858
53,8.974,9.898
54,9.135,11.955
55,9.279,11.528
56,9.34,8.295
57,9.332,10.076
58,9.269,13.117
59,9.273,12.584
60,9.33,12.47
61,9.433,11.418
62,9.578,9.711
63,9.664,9.131
64,9.719,9.824
65,9.823,9.677
66,9.937,8.749
67,9.99,8.072
68,9.972,7.149
69,9.854,6.258
70,9.688,5.748
71,9.496,6.041
72,9.249,7.056
73,8.653,6.554
74,8.247,5.69
75,7.765,6.048
76,7.242,7.198
77,6.833,7.553
78,6.237,8.378
79,6.087,9.03
80,5.985,8.578
81,6.119,8.621
82,6.55,8.348
83,7.002,7.208
84,7.413,7.115
85,7.876,5.931
86,8.336,6.336
87,8.605,5.848
88,8.779,6.908
89,8.87,8.203
90,8.891,8.167
91,8.872,9.237
92,8.863,10.087
93,8.881,9.577
94,8.895,10.684
95,8.852,9.692
96,8.738,10.864
97,8.636,13.802
98,8.454,14.03
99,8.174,15.291
100,7.915,15.399
101,7.759,14.673
102,7.686,10.175
103,7.59,15.733
104,7.502,15.876
105,7.519,17.553
106,7.648,17.465
107,7.767,17.304
108,7.757,19.754
109,7.737,20.205
110,7.789,16.296
111,7.842,8.496
112,7.792,11.215
113,7.679,18.918
114,7.573,20.937
115,7.497,17.497
116,7.406,13.578
117,7.284,13.347
118,7.169,14.106
119,7.077,12.285
120,7.025,8.881
121,6.993,11.356
122,6.95,11.539
123,6.931,11.947
124,6.958,11.008
125,6.963,11.508
126,6.962,11.899
127,6.989,11.113
128,6.929,10.766
129,6.652,11.128
130,6.807,10.969
131,6.795,10.259
132,6.73,12.65
133,6.634,12.699
134,6.415,13.522
135,6.19,12.948
136,6.143,13.288
137,6.358,13.515
138,6.664,13.698
139,7.012,13.486
140,7.357,11.598
141,7.62,9.644
142,7.812,8.463
143,8.017,6.981
144,8.188,5.049
145,7.812,3.264
146,7.355,2.826
147,7.252,0.955
148,6.905,0.411
149,6.403,1.435
150,6.192,1.498
151,6.23,1.187
152,6.149,0.709
153,6.051,0.741
154,5.878,0.219
155,5.635,2.362
156,5.486,1.217
157,5.448,3.532
158,5.52,4.914
159,5.572,2.917
160,5.711,5.696
161,5.841,7.149
162,5.962,7.674
163,6.027,10.765
164,6.086,6.802
165,5.971,7.586
166,5.907,7.212
167,5.781,6.454
