Dataset,Model,MAE,RMSE,R2_Score,Train_Time_sec
Original,XGBoost,408.08233642578125,590.8312470579057,-0.02037811279296875,0.024688720703125
Original,RandomForest,424.5571666666667,589.2496520154491,-0.014922592084311903,0.12997126579284668
Original,SVR,393.33168056066927,599.187624599094,-0.04944557475730038,0.0011663436889648438
Original,Stacking,490.3942623365099,683.7816851037795,-0.3666873633044794,0.7134897708892822
LWT_L1,XGBoost,464.49940146169354,632.3014175653009,-0.16864488203252237,0.03914690017700195
LWT_L1,RandomForest,422.3449301075269,587.2997028326364,-0.008216528081641306,0.14083480834960938
LWT_L1,SVR,393.4879664062572,600.6729013851265,-0.05465479128319939,0.0016133785247802734
LWT_L1,Stacking,476.1589835181907,681.2649576244048,-0.3566454161222512,0.796027421951294
LWT_L2,XGBoost,412.7253142326109,591.0324416144472,-0.02107322999261818,0.025710344314575195
LWT_L2,RandomForest,404.0292204301075,556.3520632031416,0.09523944895736502,0.12705349922180176
LWT_L2,SVR,393.2508381177717,601.6801841058287,-0.05819490861836596,0.0015032291412353516
LWT_L2,Stacking,428.9408503208547,612.74590292329,-0.09747612871297173,0.6923153400421143
