Final_Approximation,H_L1,H_L2
8.099750000000000227e+00,6.699999999999999289e-01,8.434999999999996945e-01
9.220749999999998892e+00,4.570000000000007390e-01,8.450000000000024158e-02
9.899999999999998579e+00,2.349999999999994316e-01,6.470000000000002416e-01
1.114450000000000074e+01,-1.999999999998891553e-03,6.730000000000000426e-01
1.164375000000000071e+01,3.830000000000008953e-01,1.504999999999991900e-01
1.130400000000000027e+01,2.590000000000003411e-01,-3.000000000000007105e-01
1.035599999999999987e+01,2.800000000000011369e-01,-4.899999999999984368e-01
9.440500000000000114e+00,3.099999999999987210e-01,-4.149999999999991473e-01
8.973500000000001364e+00,-1.170000000000008811e-01,-1.040000000000009805e-01
8.797249999999998238e+00,3.800000000000025580e-02,-1.294999999999983942e-01
8.566749999999998977e+00,-1.959999999999997300e-01,-7.499999999998507860e-03
8.591750000000001108e+00,-1.559999999999988063e-01,-1.649999999999884892e-02
8.700749999999999318e+00,-2.919999999999998153e-01,8.550000000000146372e-02
9.182000000000000384e+00,-2.400000000000002132e-01,2.549999999999990052e-01
9.301000000000000156e+00,-2.160000000000010800e-01,1.000000000001222134e-03
9.598499999999999588e+00,-1.760000000000001563e-01,1.859999999999999432e-01
9.930499999999998550e+00,-3.700000000000081002e-02,1.010000000000008669e-01
9.571750000000001535e+00,-6.899999999999906208e-02,-3.985000000000002984e-01
7.976749999999999119e+00,-1.600000000000001421e-02,-9.464999999999994529e-01
6.285499999999999865e+00,-8.099999999999951683e-02,-4.990000000000005542e-01
6.770999999999999908e+00,-7.899999999999884892e-02,8.729999999999993321e-01
8.399000000000000909e+00,5.199999999999960210e-02,5.860000000000002984e-01
8.873999999999998778e+00,-2.599999999999980105e-02,-1.299999999999990052e-02
8.841499999999999915e+00,4.499999999999992895e-02,-9.299999999999997158e-02
8.294750000000000512e+00,-6.000000000000227374e-03,-5.005000000000006111e-01
7.634249999999999758e+00,1.330000000000008953e-01,-1.765000000000007674e-01
7.672750000000000625e+00,1.609999999999995879e-01,1.785000000000005471e-01
7.790000000000000036e+00,6.099999999999994316e-02,5.400000000000027001e-02
7.538750000000000284e+00,-6.300000000000061107e-02,-1.745000000000009877e-01
7.138749999999999929e+00,5.700000000000038369e-02,-1.754999999999995453e-01
6.958000000000000185e+00,1.449999999999995737e-01,-2.700000000000102318e-02
6.960749999999999993e+00,5.499999999999971578e-02,-3.500000000000724754e-03
6.746000000000000441e+00,1.139999999999989910e-01,3.300000000000036238e-02
6.345499999999999474e+00,-1.800000000000068212e-02,-3.579999999999996518e-01
6.847749999999999559e+00,-1.659999999999985931e-01,6.735000000000006537e-01
7.909250000000000114e+00,-2.469999999999998863e-01,3.864999999999989555e-01
7.331000000000000405e+00,-4.060000000000005826e-01,-5.050000000000007816e-01
6.243500000000000050e+00,-5.229999999999996874e-01,-1.079999999999987637e-01
5.762499999999999289e+00,-5.960000000000000853e-01,-4.040000000000008029e-01
5.562750000000000306e+00,-1.019999999999994245e-01,1.575000000000006395e-01
5.979000000000000092e+00,4.310000000000000497e-01,1.549999999999993605e-01
5.839750000000000441e+00,4.110000000000004761e-01,-1.985000000000001208e-01
5.492750000000000021e+00,4.599999999999999645e-01,-1.154999999999990479e-01
5.772750000000000270e+00,1.739999999999994884e-01,2.564999999999990621e-01
6.492499999999999716e+00,2.100000000000079581e-02,4.609999999999994102e-01
7.234999999999999432e+00,-9.000000000000341061e-03,2.060000000000004050e-01
