Final_Approximation,H_L1,H_L2,H_L3
8.660249999999999559e+00,6.699999999999999289e-01,8.434999999999996945e-01,1.120999999999998664e+00
1.052224999999999966e+01,4.570000000000007390e-01,8.450000000000024158e-02,1.244500000000002160e+00
1.147387499999999960e+01,2.349999999999994316e-01,6.470000000000002416e-01,-3.397500000000004405e-01
9.898250000000000881e+00,-1.999999999998891553e-03,6.730000000000000426e-01,-9.154999999999997584e-01
8.885374999999999801e+00,3.830000000000008953e-01,1.504999999999991900e-01,-1.762500000000031264e-01
8.579250000000000043e+00,2.590000000000003411e-01,-3.000000000000007105e-01,2.500000000000213163e-02
8.941375000000000739e+00,2.800000000000011369e-01,-4.899999999999984368e-01,4.812500000000010658e-01
9.449749999999999872e+00,3.099999999999987210e-01,-4.149999999999991473e-01,2.974999999999994316e-01
9.751125000000000043e+00,-1.170000000000008811e-01,-1.040000000000009805e-01,-3.587499999999970157e-01
7.131124999999999048e+00,3.800000000000025580e-02,-1.294999999999983942e-01,-1.691249999999999254e+00
7.585000000000000853e+00,-1.959999999999997300e-01,-7.499999999998507860e-03,1.628000000000001002e+00
8.857749999999999346e+00,-1.559999999999988063e-01,-1.649999999999884892e-02,-3.249999999999886313e-02
7.964500000000000135e+00,-2.919999999999998153e-01,8.550000000000146372e-02,-6.605000000000007532e-01
7.731374999999999886e+00,-2.400000000000002132e-01,2.549999999999990052e-01,1.172499999999994102e-01
7.338750000000000107e+00,-2.160000000000010800e-01,1.000000000001222134e-03,-4.000000000000003553e-01
6.959374999999999645e+00,-1.760000000000001563e-01,1.859999999999999432e-01,2.749999999999808153e-03
6.545749999999999957e+00,-3.700000000000081002e-02,1.010000000000008669e-01,-4.005000000000009663e-01
7.378499999999999837e+00,-6.899999999999906208e-02,-3.985000000000002984e-01,1.061500000000000554e+00
6.787250000000000227e+00,-1.600000000000001421e-02,-9.464999999999994529e-01,-1.087500000000000355e+00
5.662625000000000242e+00,-8.099999999999951683e-02,-4.990000000000005542e-01,-1.997499999999989839e-01
5.909375000000000711e+00,-7.899999999999884892e-02,8.729999999999993321e-01,-1.392499999999996518e-01
5.632749999999999702e+00,5.199999999999960210e-02,5.860000000000002984e-01,2.800000000000002487e-01
6.863749999999999574e+00,-2.599999999999980105e-02,-1.299999999999990052e-02,7.424999999999997158e-01
8.185249999999999915e+00,4.499999999999992895e-02,-9.299999999999997158e-02,7.860000000000013642e-01
9.026500000000000412e+00,-6.000000000000227374e-03,-5.005000000000006111e-01,-8.249999999999957367e-02
8.517250000000000654e+00,1.330000000000008953e-01,-1.765000000000007674e-01,-2.065000000000001279e-01
8.152000000000001023e+00,1.609999999999995879e-01,1.785000000000005471e-01,9.999999999999964473e-02
6.645500000000000185e+00,6.099999999999994316e-02,5.400000000000027001e-02,-1.589500000000000135e+00
5.680625000000000036e+00,-6.300000000000061107e-02,-1.745000000000009877e-01,1.357499999999998153e-01
5.143750000000000711e+00,5.700000000000038369e-02,-1.754999999999995453e-01,-5.034999999999998366e-01
4.864250000000000185e+00,1.449999999999995737e-01,-2.700000000000102318e-02,3.404999999999995808e-01
5.175250000000000128e+00,5.499999999999971578e-02,-3.500000000000724754e-03,1.560000000000005826e-01
5.990499999999999936e+00,1.139999999999989910e-01,3.300000000000036238e-02,3.025000000000002132e-01
6.768375000000000696e+00,-1.800000000000068212e-02,-3.579999999999996518e-01,1.552499999999996660e-01
7.463124999999999787e+00,-1.659999999999985931e-01,6.735000000000006537e-01,5.042499999999989768e-01
8.050875000000001336e+00,-2.469999999999998863e-01,3.864999999999989555e-01,1.872500000000005826e-01
6.940250000000000696e+00,-4.060000000000005826e-01,-5.050000000000007816e-01,-1.072000000000000064e+00
7.087749999999999773e+00,-5.229999999999996874e-01,-1.079999999999987637e-01,3.264999999999993463e-01
7.494250000000000078e+00,-5.960000000000000853e-01,-4.040000000000008029e-01,-6.700000000000017053e-02
8.512125000000001052e+00,-1.019999999999994245e-01,1.575000000000006395e-01,1.133249999999998536e+00
1.124587499999999984e+01,4.310000000000000497e-01,1.549999999999993605e-01,1.729749999999999233e+00
1.474749999999999872e+01,4.110000000000004761e-01,-1.985000000000001208e-01,1.784499999999999531e+00
1.359050000000000047e+01,4.599999999999999645e-01,-1.154999999999990479e-01,-8.099999999999987210e-01
1.166799999999999926e+01,1.739999999999994884e-01,2.564999999999990621e-01,-1.624000000000000554e+00
1.297400000000000020e+01,2.100000000000079581e-02,4.609999999999994102e-01,2.487999999999999545e+00
1.418025000000000091e+01,-9.000000000000341061e-03,2.060000000000004050e-01,-1.025000000000009237e-01
1.292487500000000011e+01,1.399999999999934630e-02,3.824999999999993960e-01,4.925000000000068212e-02
1.474875000000000114e+01,-1.140000000000007674e-01,2.815000000000011937e-01,1.206500000000000128e+00
1.775199999999999889e+01,-1.819999999999986073e-01,9.649999999999891998e-02,2.900500000000000966e+00
2.020862499999999784e+01,-2.589999999999994529e-01,-2.124999999999985789e-01,-8.417500000000011084e-01
1.542875000000000085e+01,-7.300000000000039790e-02,-1.079999999999969873e-01,-6.500000000000001776e+00
1.015587499999999999e+01,-8.800000000000007816e-02,-2.050000000000018474e-01,-1.967749999999998778e+00
1.007349999999999923e+01,1.289999999999995595e-01,8.200000000000073896e-02,1.060000000000000497e+00
1.207512499999999989e+01,-1.000000000000067502e-02,4.700000000000059686e-02,2.500000000011937118e-04
1.019437500000000085e+01,5.199999999999960210e-02,-1.029500000000000526e+00,-1.353749999999999787e+00
8.313625000000000043e+00,-4.999999999999982236e-02,-5.405000000000006466e-01,7.762500000000009948e-01
1.144600000000000151e+01,-1.059999999999998721e-01,7.450000000000045475e-02,1.635499999999998622e+00
1.298574999999999946e+01,-9.100000000000019185e-02,-4.400000000000048317e-02,-3.224999999999997868e-01
1.245599999999999952e+01,-1.150000000000002132e-01,-1.909999999999989484e-01,-9.249999999999936051e-02
1.224024999999999963e+01,-5.199999999999960210e-02,-2.750000000000003553e-01,-6.935000000000002274e-01
1.046537499999999987e+01,-4.300000000000014921e-02,5.200000000000137845e-02,-9.107500000000001705e-01
9.359375000000000000e+00,2.700000000000013500e-02,4.200000000000070344e-02,-3.412500000000022737e-01
9.949374999999999858e+00,-1.000000000000333955e-03,-1.135000000000001563e-01,2.807499999999993889e-01
9.992499999999999716e+00,-5.999999999999960920e-02,4.004999999999991900e-01,1.564999999999994174e-01
9.357874999999999943e+00,1.550000000000002487e-01,1.254999999999988347e-01,-2.472500000000010800e-01
8.313250000000000028e+00,-6.499999999999950262e-02,2.734999999999994102e-01,-2.160000000000010800e-01
7.612624999999999531e+00,-2.190000000000003055e-01,6.150000000000055422e-02,-5.657500000000004192e-01
6.719624999999999737e+00,-4.700000000000059686e-02,1.539999999999999147e-01,-5.822500000000001563e-01
6.171749999999999403e+00,3.060000000000000497e-01,2.310000000000007603e-01,-2.090000000000005187e-01
5.709624999999999950e+00,3.450000000000006395e-01,1.674999999999995381e-01,1.274999999999870681e-02
6.491875000000000284e+00,1.920000000000001705e-01,1.415000000000006253e-01,3.897499999999993747e-01
6.806124999999999758e+00,1.710000000000011511e-01,1.180000000000003268e-01,-4.767499999999991189e-01
6.165000000000000036e+00,-4.569999999999998508e-01,-5.985000000000004761e-01,-4.384999999999994458e-01
5.699374999999999858e+00,-3.469999999999995310e-01,9.650000000000069633e-02,2.262499999999993960e-01
