Final_Approximation,H_L1,H_L2,H_L3,H_L4
9.591249999999998721e+00,6.699999999999999289e-01,8.434999999999996945e-01,1.120999999999998664e+00,1.862000000000000099e+00
1.068606250000000024e+01,4.570000000000007390e-01,8.450000000000024158e-02,1.244500000000002160e+00,-1.575624999999998721e+00
8.732312499999999034e+00,2.349999999999994316e-01,6.470000000000002416e-01,-3.397500000000004405e-01,-3.061249999999997584e-01
9.195562500000001194e+00,-1.999999999998891553e-03,6.730000000000000426e-01,-9.154999999999997584e-01,5.083749999999991331e-01
8.441124999999999545e+00,3.830000000000008953e-01,1.504999999999991900e-01,-1.762500000000031264e-01,-2.620000000000000995e+00
8.221375000000000099e+00,2.590000000000003411e-01,-3.000000000000007105e-01,2.500000000000213163e-02,1.272749999999998494e+00
7.847937500000000455e+00,2.800000000000011369e-01,-4.899999999999984368e-01,4.812500000000010658e-01,-2.331250000000002487e-01
7.149062499999999432e+00,3.099999999999987210e-01,-4.149999999999991473e-01,2.974999999999994316e-01,-3.793750000000004619e-01
6.962125000000000341e+00,-1.170000000000008811e-01,-1.040000000000009805e-01,-3.587499999999970157e-01,8.327499999999998792e-01
6.224937500000000234e+00,3.800000000000025580e-02,-1.294999999999983942e-01,-1.691249999999999254e+00,-1.124624999999999986e+00
5.771062500000000206e+00,-1.959999999999997300e-01,-7.499999999998507860e-03,1.628000000000001002e+00,-2.766250000000010090e-01
7.524499999999999744e+00,-1.559999999999988063e-01,-1.649999999999884892e-02,-3.249999999999886313e-02,1.321500000000000341e+00
8.771875000000001421e+00,-2.919999999999998153e-01,8.550000000000146372e-02,-6.605000000000007532e-01,-5.092499999999997584e-01
7.398750000000000604e+00,-2.400000000000002132e-01,2.549999999999990052e-01,1.172499999999994102e-01,-1.506500000000000838e+00
5.412187499999999929e+00,-2.160000000000010800e-01,1.000000000001222134e-03,-4.000000000000003553e-01,-5.368749999999993250e-01
5.019750000000000156e+00,-1.760000000000001563e-01,1.859999999999999432e-01,2.749999999999808153e-03,3.109999999999999432e-01
6.379437499999999872e+00,-3.700000000000081002e-02,1.010000000000008669e-01,-4.005000000000009663e-01,7.778750000000007603e-01
7.757000000000000561e+00,-6.899999999999906208e-02,-3.985000000000002984e-01,1.061500000000000554e+00,5.877500000000015490e-01
7.014000000000000234e+00,-1.600000000000001421e-02,-9.464999999999994529e-01,-1.087500000000000355e+00,1.474999999999990763e-01
8.003187500000001009e+00,-8.099999999999951683e-02,-4.990000000000005542e-01,-1.997499999999989839e-01,1.017875000000000973e+00
1.299668750000000017e+01,-7.899999999999884892e-02,8.729999999999993321e-01,-1.392499999999996518e-01,3.501624999999998877e+00
1.262924999999999898e+01,5.199999999999960210e-02,5.860000000000002984e-01,2.800000000000002487e-01,-1.922500000000001208e+00
1.357712500000000055e+01,-2.599999999999980105e-02,-1.299999999999990052e-02,7.424999999999997158e-01,1.206250000000000711e+00
1.383681250000000063e+01,4.499999999999992895e-02,-9.299999999999997158e-02,7.860000000000013642e-01,1.823875000000001023e+00
1.898031249999999659e+01,-6.000000000000227374e-03,-5.005000000000006111e-01,-8.249999999999957367e-02,2.456624999999998948e+00
1.279231250000000131e+01,1.330000000000008953e-01,-1.765000000000007674e-01,-2.065000000000001279e-01,-5.272875000000000867e+00
1.107431249999999956e+01,1.609999999999995879e-01,1.785000000000005471e-01,9.999999999999964473e-02,2.001625000000000654e+00
9.254000000000001336e+00,6.099999999999994316e-02,5.400000000000027001e-02,-1.589500000000000135e+00,-1.880750000000000810e+00
1.221587500000000048e+01,-6.300000000000061107e-02,-1.745000000000009877e-01,1.357499999999998153e-01,1.539749999999997954e+00
1.234812499999999957e+01,5.700000000000038369e-02,-1.754999999999995453e-01,-5.034999999999998366e-01,-2.157499999999998863e-01
9.912375000000000824e+00,1.449999999999995737e-01,-2.700000000000102318e-02,3.404999999999995808e-01,-1.105999999999999872e+00
9.970937499999999787e+00,5.499999999999971578e-02,-3.500000000000724754e-03,1.560000000000005826e-01,4.312499999999985789e-02
8.835562499999999986e+00,1.139999999999989910e-01,3.300000000000036238e-02,3.025000000000002132e-01,-1.044624999999999915e+00
7.166124999999999190e+00,-1.800000000000068212e-02,-3.579999999999996518e-01,1.552499999999996660e-01,-8.929999999999997939e-01
5.940687499999999233e+00,-1.659999999999985931e-01,6.735000000000006537e-01,5.042499999999989768e-01,-4.621249999999994529e-01
6.649000000000000021e+00,-2.469999999999998863e-01,3.864999999999989555e-01,1.872500000000005826e-01,3.142499999999994742e-01
5.932187499999999503e+00,-4.060000000000005826e-01,-5.050000000000007816e-01,-1.072000000000000064e+00,-4.656250000000001776e-01
6.913874999999999993e+00,-5.229999999999996874e-01,-1.079999999999987637e-01,3.264999999999993463e-01,9.565000000000001279e-01
8.304312499999999986e+00,-5.960000000000000853e-01,-4.040000000000008029e-01,-6.700000000000017053e-02,6.993749999999998579e-01
8.695750000000000313e+00,-1.019999999999994245e-01,1.575000000000006395e-01,1.133249999999998536e+00,-1.315000000000026148e-01
8.064687499999999787e+00,4.310000000000000497e-01,1.549999999999993605e-01,1.729749999999999233e+00,-1.110125000000000028e+00
6.833000000000000185e+00,4.110000000000004761e-01,-1.985000000000001208e-01,1.784499999999999531e+00,-6.252500000000003055e-01
