Final_Approximation,HH_L1,HL_L1,LH_L1,HH_L2,HL_L2,LH_L2,HH_L3,HL_L3,LH_L3
2525.953804347826,-222.0,-110.0,463.0,-49.5,-73.5,389.0,-70.375,105.5625,134.90760869565202
1177.078125,51.0,-424.5,-782.5,-199.75,64.875,736.233695652174,-323.0625,161.53125,-2354.15625
2601.695652173913,-57.0,-28.5,-1132.4565217391305,394.0,146.25,-357.0,-45.532608695652016,-108.82880434782601,-118.54619565217399
1284.40625,123.0,61.5,-1194.6739130434785,428.0,222.75,367.0,-165.0,82.5,-2568.8125
2606.515625,864.0,-545.0,524.0,86.25,-98.625,435.983695652174,-90.4375,109.78125,87.53125
1235.734375,-170.0,-175.0,699.0,31.75,71.375,-325.125,-227.9375,113.96875,-2471.46875
2869.5,571.0,286.5,361.5,-22.0,-161.25,730.75,211.625,-23.625,109.5625
1537.359375,-292.0,115.0,-520.0,262.25,-62.875,509.483695652174,35.8125,-17.90625,-3074.71875
1053.890625,-92.0,-46.0,-802.9565217391305,172.25,124.125,-757.375,-193.5625,-2107.78125,96.78125
581.46875,-205.0,-102.5,-1264.6739130434785,-281.25,-23.125,612.375,2325.875,-1162.9375,-1162.9375
,-113.0,29.5,293.5,79.5,121.75,919.75,,,
,841.0,-313.5,223.5,-228.25,-173.125,-829.875,,,
,374.0,188.0,701.0,87.5,278.0,612.25,,,
,982.0,-401.0,160.0,-303.5,167.25,575.5,,,
,336.0,168.0,-384.9565217391305,1028.5,573.0,-881.75,,,
,69.0,34.5,-1333.6739130434785,102.0,34.75,555.25,,,
,-590.0,-118.0,520.0,208.75,-65.625,667.625,,,
,-146.0,717.0,495.0,-190.75,-38.625,-970.375,,,
,-5.0,-1.5,714.5,282.75,88.625,898.125,,,
,349.0,25.5,-423.5,-100.75,235.625,771.375,,,
,13.0,6.5,-668.4565217391305,-287.5,32.25,-1048.75,,,
,71.0,35.5,-1444.6739130434785,-397.0,-442.75,640.75,,,
,322.0,235.0,-150.0,-152.5,68.75,788.75,,,
,419.0,114.5,202.5,-101.75,149.125,-1325.375,,,
,-211.0,-104.5,838.5,-308.5,-1408.5,436.25,,,
,-206.0,-229.0,-489.0,-140.25,-1492.625,466.625,,,
,-8.0,-4.0,-446.9565217391305,606.0,-1569.0,-681.25,,,
,17.0,8.5,-1424.6739130434785,,,,,,
,952.0,360.0,-44.0,,,,,,
,126.0,-257.0,723.0,,,,,,
,130.0,66.0,534.0,,,,,,
,237.0,-48.5,-348.5,,,,,,
,-422.0,-211.0,-834.9565217391305,,,,,,
,-72.0,-36.0,-1288.1739130434785,,,,,,
,-714.0,144.0,423.0,,,,,,
,187.0,80.5,436.5,,,,,,
,334.0,168.0,509.0,,,,,,
,-44.0,-61.0,-395.0,,,,,,
,-21.0,-145.5,8.5,,,,,,
,15.0,48.5,-1215.5,,,,,,
,-289.0,385.5,731.5,,,,,,
,-164.0,54.0,20.0,,,,,,
,194.0,98.0,740.0,,,,,,
,-947.0,-287.5,-875.5,,,,,,
,-595.0,-176.5,-717.5,,,,,,
,201.0,-45.5,-1269.5,,,,,,
,-197.0,41.5,777.5,,,,,,
