,Year,Tmax32,Tmax33,Tmax34,Tmax35,Tmax36,Tmax37,Tmax38,Tmax39,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,27.65714286,29.31428571,29.85714286,28.31428571,29.22857143,27.68571429,29.7,28.54285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,27.6,29.08571429,29.32857143,28.71428571,28.81428571,28.61428571,30.82857143,31.21428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,27.25714286,28.17142857,25.42857143,26.37142857,27.25714286,29.68571429,29.3,29.92857143,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,27.8,27.28571429,28.48571429,29.14285714,30.11428571,30.57142857,31.04285714,28.74285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,25.75714286,27.08571429,28.35714286,30.87142857,29.28571429,31.24285714,30.58571429,32.11428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,30.31428571,30.65714286,27.42857143,28.47142857,29.2,29.92857143,30.55714286,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,26.97142857,27.27142857,27.8,29.32857143,28.51428571,28.18571429,30.8,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,26.34285714,27.18571429,28.14285714,29.48571429,28.6,27.15714286,27.34285714,29.35714286,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,27.21428571,27.47142857,29.07142857,29.45714286,32.8,30.1,27.95714286,29.01428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,26.25714286,28.87142857,29.47142857,28.38571429,27.85714286,29.72857143,26.5,28.22857143,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,25.81428571,26.51428571,29.07142857,30.57142857,29.32857143,26.84285714,28.74285714,30.32857143,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,29.4,29.25714286,27.84285714,27.75714286,26.57142857,28.74285714,29.94285714,29.12857143,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,28.81428571,29.24285714,28.62857143,27.41428571,27.38571429,28.72857143,29.48571429,30.74285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,28.88571429,29.45714286,28.71428571,27.11428571,28.1,29.78571429,29.14285714,30.88571429,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,27.31428571,28.64285714,29.87142857,27.25714286,27.95714286,28.35714286,29.68571429,30.77142857,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,27.92857143,26.22857143,27.28571429,29.75714286,28.78571429,28.15714286,27.57142857,29.17142857,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,27,28.58571429,30.28571429,25.75714286,27.31428571,29.3,28.11428571,31.52857143,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,28.58571429,29.6,30.75714286,29.71428571,30.84285714,28.84285714,28.55714286,31.31428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,28.87142857,29.68571429,30.38571429,28.84285714,29.57142857,26.11428571,28.02857143,27.54285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,31,30.15714286,27.3,25.71428571,29.01428571,34.17142857,29.62857143,31.65714286,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,27.54285714,25.34285714,27.3,27.88571429,28.81428571,31.25714286,30.6,31.65714286,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,27.74285714,29.94285714,31.4,31.28571429,30.9,27.68571429,27.14285714,28.11428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,28.63,27.86,29.57,26.86,26.36,27.50,29.07,28.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tmin32,Tmin33,Tmin34,Tmin35,Tmin36,Tmin37,Tmin38,Tmin39,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,21.67142857,22,22.08571429,21.42857143,21.68571429,21.15714286,20.98571429,21.05714286,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,21.01428571,21.18571429,20.97142857,20.92857143,20.45714286,20.65714286,20.55714286,21.32857143,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,20.24285714,20.8,20.77142857,20.61428571,20.35714286,20.94285714,21.05714286,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,
,2001,21.04285714,20.32857143,21.2,20.7,20.74285714,20.7,21.28571429,20.72857143,,,,,,,,,,,,,,,,,,,,,,,,,,
,2002,20.44285714,21.28571429,20.92857143,21.07142857,20.84285714,20.34285714,20.35714286,21.35714286,,,,,,,,,,,,,,,,,,,,,,,,,,
,2003,21.32857143,20.84285714,20.48571429,20.67142857,20.38571429,20.17142857,20.41428571,20.95714286,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,19.85714286,19.42857143,19.68571429,19.28571429,19.45714286,19.42857143,20.34285714,20.21428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,20.3,20.62857143,20.31428571,20.8,20.67142857,20.74285714,20.17142857,20.08571429,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,20.17142857,20.48571429,19.84285714,19.78571429,20.58571429,20.4,19.95714286,19.95714286,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,20.42857143,20.38571429,20.77142857,20.77142857,20.81428571,20.68571429,19.82857143,20.54285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,20.35714286,20.44285714,20.35714286,20.34285714,20.42857143,20.04285714,20.2,19.51428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,20.64285714,20.51428571,20.11428571,20.37142857,20.11428571,20.47142857,20.51428571,20.37142857,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,21.02857143,20.84285714,20.71428571,20.51428571,20.62857143,20.5,19.94285714,21.07142857,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,21.04285714,21.02857143,20.78571429,20.82857143,20.61428571,20.31428571,19.8,19.44285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,20.88571429,20.72857143,20.58571429,19.95714286,20.77285714,20.34285714,19.72857143,19.84285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,19.9,20.11428571,20.02857143,20.48571429,19.95714286,20.61428571,20.4,19.48571429,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,20.31428571,20.35714286,20.14285714,19.72857143,20.04285714,20.02857143,20.18571429,20.54285714,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,21.25714286,21.15714286,21.02857143,21.05714286,20.84285714,20.48571429,20.51428571,20.51428571,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,20.97142857,20.91428571,20.65714286,18.17142857,19.8,20.51428571,19.97142857,20.78571429,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,21.64285714,21.32857143,20.3,19.64285714,20.02857143,17.08571429,19.48571429,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,20.3,20.3,20.41428571,20.5,20.5,20.5,20.5,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,22.25714286,21.65714286,21.82857143,21.48571429,21.48571429,20.78571429,20.41428571,20.51428571,,,,,,,,,,,,,,,,,,,,,,,,,,
