,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,,,,,,
1985,Max avg,30.1,29.21428571,29.38571429,30.18571429,31.31428571,30.14285714,30.82857143,32.15714286,33.11428571,33.87142857,34.7,33.64285714,32.57142857,32.01428571,33.08571429,33.27142857,32.28571429,32.37142857,33.6,32.67142857,29.72857143,28.11428571,26.51428571,24.4,23.84285714,21.95714286,24.14285714,23.84285714,24.41428571,23.7,22.77142857,22.87142857,23.07142857,24.67142857,25.18571429,25.8,26.07142857,27.85714286,28.5,26.57142857,26.72857143,27.2,27.55714286,28.57142857,26.64285714,26.8,28.27142857,27.1,29.04285714,28.75714286,29.15714286,29.325,,,,,,
1986,Max avg,28.24285714,27.07142857,27.21428571,29.67142857,29.58571429,30.45714286,29.91428571,30.55714286,31.92857143,33.42857143,33.02857143,34,34.05714286,34.6,34.54285714,34.47142857,34.11428571,32.62857143,31.35714286,31.97142857,32.14285714,31.87142857,30.15714286,28.8,23.9,24.64285714,26.25714286,23.82857143,22.18571429,23.97142857,24.6,21.1,23.35714286,25.78571429,28.38571429,26.74285714,26.31428571,28.22857143,28.82857143,28.9,30.21428571,29.75714286,28.97142857,27.15714286,27.07142857,27.82857143,27.25714286,28.8,27.65714286,29.24285714,29,28.9125,,,,,,
1987,Max avg,28.21428571,28.4,29.22857143,30.12857143,30.04285714,29.45714286,30.14285714,32.42857143,32.01428571,33.18571429,32.27142857,34.57142857,35.27142857,35.07142857,33.87142857,35.58571429,33.5,33.61428571,34.27142857,31.6,32.32857143,31.84285714,27.02857143,24.65714286,25.35714286,28.02857143,23.98571429,24.55714286,26.67142857,26.82857143,28.25714286,25.35714286,24.31428571,23.52857143,25.71428571,25.8,27.67142857,28.48571429,26.61428571,27.91428571,27.54285714,27.87142857,28.85714286,27.97142857,28.34285714,25.98571429,27.67142857,27.11428571,27.31428571,26.68571429,26.8,26.9,,,,,,
1988,Max avg,26.55714286,27.85714286,28.84285714,28.74285714,30.15714286,30.47142857,31.3,32.2,32.7875,32.75714286,34.14285714,33.54285714,33.18571429,33.3,32.74285714,31.8,31.45714286,30.5,31.91428571,30.65714286,30.47142857,29.47142857,26.94285714,26.28571429,26.85714286,26.07142857,26.61428571,25.6,22.94285714,24.75714286,24.41428571,25.54285714,24.61428571,25,25.38571429,26.87142857,26.78571429,25.55714286,25.37142857,26.11428571,28.45714286,29.11428571,29.21428571,29.38571429,27.4,28.25714286,28.68571429,27.7,27.88571429,27.55714286,27.6,27.7375,,,,,,
1989,Max avg,28.44285714,27.58571429,28.47142857,29.77142857,30.52857143,32.04285714,31.97142857,32.88571429,32.9,32.47142857,32.17142857,32.24285714,31.4,32.54285714,33.3,33.6,30.14285714,32.35714286,32.25714286,31.08571429,29.88571429,31.25714286,26.37142857,24.42857143,25.31428571,24.94285714,26.04285714,25.81428571,23.28571429,22.17142857,24.51428571,23.75714286,22.35714286,23.4,24.17142857,26.28571429,26.28571429,26.22857143,26.14285714,27.32857143,28.67142857,28.14285714,28.6,28.54285714,28.12857143,27.64285714,27.87142857,28.45714286,27.92857143,27.15714286,27.34285714,28.45,,,,,,
1990,Max avg,27.98571429,27.15714286,28.25714286,29.44285714,31.04285714,31.28571429,30.87142857,29.7,31.25714286,30.88571429,32.54285714,33.85714286,33.08571429,34.05714286,33.75714286,33.05714286,34.75714286,31.8,30.34285714,29.92857143,27.15714286,25.72857143,25.54285714,23.37142857,23.67142857,23.65714286,24.34285714,23.52857143,23.34285714,24.4,24.31428571,22.38571429,22.18571429,22.81428571,24.61428571,24.48571429,26.55714286,27.28571429,27.3,26.6,28.65714286,27.9,27.28571429,26.17142857,26.32857143,26.32857143,26.45714286,27.07142857,28.34285714,27.41428571,27.38571429,28.775,,,,,,
1991,Max avg,28.8,28.31428571,30.07142857,29.84285714,29.9,31.61428571,32.14285714,31.87142857,32.32857143,32.8,32.74285714,33.88571429,35,32.57142857,33.3,32.02857143,32.22857143,31.51428571,32.08571429,32.02857143,31.97142857,30.64285714,25.31428571,26.55714286,25.78571429,25.08571429,25.17142857,23.07142857,23.17142857,23.17142857,23.87142857,22.52857143,21.88571429,22.64285714,23.81428571,26.84285714,28.28571429,26.98571429,28.01428571,28.42857143,27.6,27.82857143,28.07142857,25.5,26.45714286,22.82857143,26.42857143,27.45714286,26.94285714,26.91428571,27.98571429,27.7875,,,,,,
1992,Max avg,27.4,29.81428571,29.22857143,29.5,29.71428571,31,30.64285714,30.2,32.1125,32.95714286,34.22857143,35.5,33.64285714,35.1,34.71428571,34.02857143,32.6,32.5,32.17142857,29.95714286,29.85714286,30.11428571,29.9,28.5,23.94285714,24.75714286,26.65714286,25.68571429,23.82857143,24,24.42857143,25.48571429,22.8,24.44285714,24.05714286,24.27142857,26.61428571,27.82857143,28.42857143,27.2,26.87142857,26.47142857,26.1,27.04285714,26.02857143,24.1,25.45714286,25.15714286,25.74285714,25.22857143,25.41428571,24.6375,,,,,,
1993,Max avg,27.62857143,28.4,28.31428571,26.08571429,28.08571429,29.25714286,30,31.85714286,30.04285714,32.14285714,30.71428571,32.4,32,33.57142857,34.11428571,32.52857143,33.05714286,33.87142857,31.94285714,30.65714286,29.4,26.84285714,26.81428571,25.71428571,25.94285714,26.02857143,24.37142857,24.15714286,25.37142857,23.05714286,23.41428571,24.72857143,23.51428571,25.28571429,25.28571429,23.81428571,25.18571429,25.62857143,25.62857143,25.48571429,24.9,25.24285714,26.1,25.87142857,25.11428571,25.74285714,25.8,24.62857143,24.11428571,24.45714286,24.58571429,24.45,,,,,,
1994,Max avg,25.05714286,24.88571429,25.08571429,24.8,25.22857143,24.61428571,24.52857143,26.55714286,25.47142857,25.6,30.2,31.78571429,30.64285714,25.62857143,26.32857143,29.12857143,30.54285714,26.94285714,27.91428571,32.02857143,30.54285714,28.3,25.84285714,25.84285714,25.54285714,23.44285714,24.1,24.35714286,23.24285714,23.58571429,24.41428571,25.42857143,25.55714286,23.55714286,23.42857143,23.98571429,26.21428571,26.52857143,28.71428571,26.02857143,27.71428571,27,27.91428571,26.61428571,26.57142857,27.51428571,26.85714286,27.81428571,26.27142857,27.18571429,27.78571429,27.425,,,,,,
1995,Max avg,27.82857143,27.25714286,26.91428571,27.4,26.95714286,30.65714286,31.11428571,31.2,31.78571429,32.61428571,33.08571429,34.05714286,32.42857143,33.34285714,31.75714286,32.9,32.88571429,31.6,28.14285714,28.54285714,30.88571429,31.05714286,29.82857143,25,26.08571429,26.1,25.44285714,23.6,23.62857143,25.67142857,25.1,25.78571429,26.57142857,27.38571429,23.38571429,24.72857143,26.91428571,27.21428571,28.02857143,27.85714286,26.97142857,28.32857143,28.7,28.71428571,28.25714286,28.25714286,28.48571429,28.3,28.45714286,28.18571429,28.91428571,28.825,,,,,,
1996,Max avg,29.05714286,29.2,29.65714286,29.6,30.37142857,30.8,31.05714286,31.57142857,32.6875,32.44285714,34.54285714,33.07142857,32.92857143,33.97142857,31.88571429,31.51428571,32.51428571,32.17142857,31.12857143,32.11428571,31.78571429,30.68571429,30.18571429,24.94285714,25.17142857,26.4,25.31428571,25.94285714,24.11428571,24.2,24.11428571,23.88571429,24.28571429,25.34285714,25.22857143,26.6,26.11428571,25.68571429,26.92857143,23.8,27.94285714,27.2,27.14285714,27.34285714,27.05714286,28.82857143,27.8,28.11428571,27.6,25.45714286,26.88571429,26.9,,,,,,
1997,Max avg,27.28571429,27.6,28.41428571,29.4,28.71428571,29.98571429,30.67142857,30.67142857,32.07142857,32.72857143,33.22857143,33.6,33.8,32.51428571,31.77142857,31.58571429,32.02857143,30.81428571,31.6,31.2,31.42857143,31.48571429,30.54285714,28.2,27,24.4,24.25714286,23.81428571,25.55714286,24.34285714,23.14285714,23.84285714,24.77142857,23.95714286,24.55714286,26.4,27.14285714,27.68571429,26.48571429,27.48571429,29.81428571,29.18571429,28.95714286,27.31428571,27.25714286,27.85714286,27.57142857,27.08571429,27.9,27.45714286,28.71428571,28.4,,,,,,
1998,Max avg,29.07142857,28.21428571,29.25714286,29.44285714,30.55714286,30.75714286,30.57142857,30.37142857,32.18571429,32.95714286,32.11428571,33.72857143,33.55714286,34.62857143,33.11428571,33.95714286,33.87142857,33.01428571,32.62857143,30.82857143,30.94285714,31.28571429,29.35714286,26.41428571,25.32857143,23.47142857,22.71428571,24.22857143,26.82857143,24.75714286,25.51428571,24.22857143,24.48571429,27.08571429,25.41428571,24.08571429,21.58571429,25.61428571,24.62857143,24.24285714,23.31428571,21.02857143,20.27142857,24.74285714,24.25714286,23.94285714,23.82857143,15.24285714,14.44285714,18.64285714,12.94285714,12.1375,,,,,,
1999,Max avg,10.91428571,13.38571429,12.47142857,10.78571429,14.01428571,15.85714286,13.74285714,13.6,14.22857143,17.8,19.1,18.92857143,16.51428571,17.05714286,19.1,19.28571429,19.07142857,18.5,18.77142857,19.32857143,19.91428571,18.64285714,19,19.67142857,24.58571429,26.2,25.8,23.98571429,22.62857143,22.62857143,23.9,23.62857143,25.62857143,25.52857143,24.42857143,24.42857143,25.24285714,27.12857143,28.31428571,26.68571429,27.77142857,28.51428571,28.12857143,27.2,28.34285714,26.91428571,27.27142857,28.2,28.41428571,27.48571429,27.62857143,26.95,,,,,,
2000,Max avg,28.01428571,28.7,29.34285714,30.42857143,30.08571429,30.01428571,30.91428571,29.2,31.2,,,,,,,,,31.66666667,29.05714286,28.62857143,27.77142857,27.34285714,25.41428571,25.55714286,25.77142857,24.98571429,22.77142857,21.91428571,22.85714286,25.2,27.05714286,25.27142857,25.77142857,22.05714286,22.48571429,24.41428571,27.05714286,27.48571429,28.91428571,27.98571429,26.84285714,27.84285714,27.41428571,27.98571429,29.05714286,28.55714286,29.05714286,25.87142857,28.41428571,27.48571429,27.98571429,27.2,,,,,,
2001,Max avg,28.98571429,29.34285714,29.65714286,29.05714286,30.91428571,31.62857143,31.91428571,32.12857143,32.27142857,31.91428571,32.15714286,32.48571429,32.55714286,33.2,30.91428571,29.7,30.98571429,30.62857143,30.64285714,29.78571429,27.48571429,27.48571429,26.77142857,24.48571429,23.84285714,23.62857143,23.7,23.48571429,23.77142857,24.2,23.48571429,23.77142857,24.34285714,23.77142857,24.91428571,26.2,27.48571429,27.7,25.38571429,26.55714286,26.48571429,25.55714286,27.77142857,28.7,28.62857143,27.64285714,28.6,27.91428571,27.84285714,28.08571429,28.41428571,28.1375,,,,,,
2002,Max avg,28.62857143,28.77142857,28.48571429,30.05714286,29.55714286,30.34285714,29.77142857,30.77142857,31.91428571,32.27142857,34.34285714,34.62857143,34.05714286,32.7,31.34285714,32.77142857,32.05714286,32.77142857,29.7,29.91428571,30.12857143,29.7,28.2,27.07142857,23.77142857,25.98571429,26.2,24.7,24.7,23.22857143,23.98571429,22.91428571,22.84285714,23.7,26.34285714,25.2,26.34285714,27.12857143,27.84285714,30.12857143,28.2,27.41428571,28.07142857,27.82857143,27.92857143,28.27142857,28.48571429,28.85714286,27.74285714,28.2,28.31428571,26.95,,,,,,
