,Year,Tmax27,Tmax28,Tmax29,Tmax30,Tmax31,Tmax32,Tmax33,Tmax34,Tmax35,Tmax36,Tmax37,Tmax38,Tmax39,,,,,,
,1998,26.45714286,25.75714286,26,24.95714286,25.34285714,26.21428571,28.15714286,27.32857143,27.32857143,23.97142857,26.6,26.52857143,28.95714286,,,,,,
,2000,25.75714286,27.02857143,25.7,25.25714286,27.11428571,26.34285714,25.98571429,24.82857143,26.15714286,27.52857143,28.81428571,28.54285714,26.01428571,,,,,,
,2001,24.9,25.8,26.42857143,27.24285714,26.98571429,27.24285714,26.28571429,26.28571429,27.58571429,28.68571429,27.62857143,29.08571429,29.22857143,,,,,,
,2002,25.31428571,25.85714286,26.24285714,27.88571429,26.52857143,25.02857143,24.48571429,25.81428571,25.94285714,26.54285714,27.72857143,27.08571429,28.44285714,,,,,,
,2003,24.88571429,25.41428571,26.72857143,26.14285714,24.51428571,25.62857143,25.64285714,26.45714286,27.04285714,27.94285714,28.24285714,27.47142857,26.27142857,,,,,,
,2004,25.08571429,25.42857143,25.94285714,26.81428571,24.55714286,25.38571429,25.05714286,26.2,25.05714286,25.31428571,27.27142857,28.75714286,26.95714286,,,,,,
,2005,27.38571429,26.28571429,26.18571429,25.58571429,25.61428571,27.3,27.08571429,26.94285714,25.94285714,27.02857143,27.85714286,28.32857143,29.45714286,,,,,,
,2006,26.62857143,27.24285714,25.08571429,25.42857143,26.48571429,26.61428571,27.65714286,27.08571429,25.61428571,26.48571429,27.44285714,28.7,29.64285714,,,,,,
,2008,26.34285714,26.18571429,27.84285714,26.2,25.11428571,25.1,26.6,27.98571429,27.68571429,28.02857143,28.92857143,28,26.6,,,,,,
,2009,25.78571429,26.5,26.47142857,25.87142857,25.82857143,26.27142857,25.8,25.91428571,26.25714286,26.68571429,28.28571429,28.27142857,29.08571429,,,,,,
,2010,27.27142857,26.72857143,27.87142857,25.95714286,25.04285714,25.7,25.77142857,26,27.38571429,27.87142857,28,27.87142857,27.8,,,,,,
,2011,28.35714286,26.42857143,26.62857143,26.38571429,25.44285714,26.14285714,25.34285714,26.54285714,27.25714286,28.3,27.92857143,27.94285714,28.1,,,,,,
,2012,29.04285714,26.68571429,26.04285714,26.6,27.38571429,25.04285714,25.95714286,26.55714286,27.37142857,27.37142857,26.94285714,26.8,27.45714286,,,,,,
,2013,26.81428571,27.28571429,25.48571429,26.32857143,25.75714286,26.21428571,26.41428571,26.77142857,26.6,27.12857143,27.37142857,28.72857143,28.6,,,,,,
,2014,26.74285714,26.82857143,26.35714286,25.85714286,25.65714286,26.24285714,26.21428571,27.02857143,27.35714286,27.75714286,27.62857143,28.97142857,29.35714286,,,,,,
,2015,28.48571429,27.05714286,25.84285714,26.67142857,26.65714286,24.61428571,25.74285714,27.21428571,28.55714286,27.8,27.91428571,28.25714286,28.37142857,,,,,,
,2016,26.52857143,27.61428571,28.5,28.88571429,28.67142857,27.27142857,25.82857143,26.48571429,27.8,28.24285714,29.41428571,29.84285714,29.07142857,,,,,,
,2017,28.01428571,26.97142857,25.34285714,25.85714286,26.61428571,27.02857143,26.38571429,27.32857143,26.51428571,27.88571429,28.14285714,27.07142857,27.12857143,,,,,,
,2018,28.14285714,27.44285714,25.54285714,25.24285714,26.98571429,26.41428571,25.02857143,25.97142857,26.48571429,27.87142857,28.12857143,27.95714286,27.4,,,,,,
,2019,26.22857143,25.22857143,25.52857143,26.67142857,26.58571429,24.97142857,24.24285714,25.5,26.48571429,26.28571429,28.27142857,28.85714286,28.77142857,,,,,,
,2021,31.34285714,28.54285714,27.32857143,29.94285714,31.35714286,30.55714286,30.48571429,31.47142857,28.62857143,28.52857143,30.85714286,32.08571429,31.08571429,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Tmin27,Tmin28,Tmin29,Tmin30,Tmin31,Tmin32,Tmin33,Tmin34,Tmin35,Tmin36,Tmin37,Tmin38,Tmin39,,,,,,
,1998,20.6,20.38571429,20.75714286,20.47142857,20.74285714,20.18571429,20.38571429,20.58571429,20.55714286,19.75714286,19.85714286,19.52857143,20.31428571,,,,,,
,2000,20.44285714,20.3,20.44285714,20.15714286,20.35714286,20.55714286,20.42857143,20.2,20.45714286,20.22857143,20.74285714,21.45714286,20.6,,,,,,
,2001,20.75714286,21.25714286,21,21.02857143,21.22857143,20.85714286,20.27142857,20.25714286,20.31428571,20.4,20.44285714,21.25714286,21.18571429,,,,,,
,2002,20.38571429,20.61428571,20.68571429,21.04285714,20.54285714,20.34285714,20.4,20.68571429,20.41428571,20.34285714,20.42857143,20.52857143,20.35714286,,,,,,
,2003,19.98571429,20.7,20.77142857,20.35714286,19.85714286,20.48571429,20.11428571,20.44285714,19.98571429,20.45714286,20.62857143,20.62857143,20.4,,,,,,
,2004,19.92857143,20.11428571,20.25714286,20.05714286,19.68571429,20.45714286,20.28571429,20.37142857,19.88571429,19.67142857,19.91428571,20.68571429,20.11428571,,,,,,
,2005,20.78571429,20.31428571,20.34285714,20.11428571,20.57142857,20.38571429,20.45714286,20.24285714,19.98571429,20.12857143,20.28571429,19.3,20.5,,,,,,
,2006,20.51428571,20.45714286,19.91428571,20.44285714,20.61428571,20.57142857,20.48571429,20.35714286,20.07142857,20.31428571,20.17142857,20.17142857,20.68571429,,,,,,
,2008,20.18571429,20.05714286,20.4,20.02857143,20.22857143,19.75714286,20.15714286,20,20.27142857,20.4,20.62857143,20.31428571,20.18571429,,,,,,
,2009,20.5,20.78571429,20.68571429,20.12857143,20,20.15714286,20.11428571,20.11428571,20.24285714,20.17142857,19.9,20.32857143,20.11428571,,,,,,
,2010,20.21428571,20.08571429,20.52857143,19.91428571,19.25714286,20.12857143,19.97142857,19.74285714,20.07142857,20.1,19.97142857,20.08571429,19.81428571,,,,,,
,2011,19.98571429,19.84285714,19.7,19.71428571,19.34285714,19.41428571,19.51428571,19.81428571,19.84285714,19.22857143,19.61428571,19.91428571,19,,,,,,
,2012,21.35714286,20.8,20.65714286,20.94285714,21.2,20.05714286,20.82857143,20.58571429,20.8,20.3,20.14285714,20.08571429,20.01428571,,,,,,
,2013,20.75714286,20.54285714,19.87142857,19.9,20.37142857,20.32857143,20.38571429,20.48571429,20.11428571,19.87142857,19.44285714,20.22857143,20.6,,,,,,
,2014,20.94285714,20.82857143,20.01428571,20.11428571,20.07142857,20.25714286,20.24285714,20.41428571,20.41428571,20.44285714,20.14285714,20.1,20.88571429,,,,,,
,2015,21.55714286,20.62857143,20.6,20.61428571,20.3,19.94285714,20.25714286,20.35714286,19.67142857,20.02857143,20.22857143,20.74285714,21.21428571,,,,,,
,2016,21.28571429,21.55714286,21.64285714,21.27142857,21.18571429,20.75714286,20.7,21.22857143,21.31428571,20.72857143,21.45714286,21.58571429,21.08571429,,,,,,
,2017,21,20.87142857,21.07142857,20.9,21.37142857,21.01428571,20.77142857,21.18571429,20.48571429,20.97142857,20.97142857,20.97142857,20.71428571,,,,,,
,2018,20.94285714,20.5,20.27142857,20.27142857,20.34285714,20.5,20.01428571,20.27142857,20.32857143,19.74285714,20.15714286,20.91428571,20.84285714,,,,,,
,2019,20.5,19.75714286,20.1,20.24285714,20.61428571,19.78571429,20.08571429,20.2,20.32857143,20.41428571,20.31428571,19.8,20.08571429,,,,,,
,2021,24.87142857,23.94285714,24.05714286,25.27142857,25.82857143,25.01428571,24.55714286,24.94285714,24.12857143,23.7,25.22857143,24.72857143,24.18571429,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Rain27,Rain28,Rain29,Rain30,Rain31,Rain32,Rain33,Rain34,Rain35,Rain36,Rain37,Rain38,Rain39,,,,,,
,1998,326.8,495.1,333.4,532.5,422.8,166.7,27.8,100.4,131.8,418.8,117.5,90.5,14.6,,,,,,
,2000,257.2,120.8,407.2,390.7,45.7,204.2,157.2,158.1,99.7,39.6,10.9,51.7,94.7,,,,,,
,2001,536,279.8,203.5,75.9,167.2,123.9,164.4,115.2,36.8,13.9,31.6,59,52.1,,,,,,
,2002,518,279.4,232,37.3,179.3,274.7,353,157.2,129.7,86.1,30.9,33.2,11.1,,,,,,
,2003,554.8,302.3,178.3,514.5,407.1,266.8,274.4,95.5,56.5,15.8,43.8,114.2,217.2,,,,,,
,2004,265.5,387.4,202.7,169,301,342.5,348.8,121.2,189.5,201.6,53.8,61.3,196.9,,,,,,
,2005,192.6,248.1,265.9,389.1,292.2,76.4,140.2,152.7,258,101.3,99.1,12.2,20.7,,,,,,
,2006,299,116.2,579.3,302.9,114.4,117.7,61.5,141,197.8,145,50.5,4.7,37.9,,,,,,
,2008,328,270.5,65.1,282.9,441.4,244.9,50.4,6,36.4,6.1,51.8,68.9,95.9,,,,,,
,2009,487.5,191.8,184,294.2,228.3,271.2,341.3,207.3,165,105.3,13.3,27.1,75.6,,,,,,
,2010,282.5,303.9,63.5,329.4,390.8,237.1,384.7,241.3,37.9,35.4,86,144.7,77.4,,,,,,
,2011,93,268.4,378.3,292.3,649.9,437.3,337.8,226.2,62.7,17.3,39,87.1,27.7,,,,,,
,2012,57.8,234.2,531.9,233.1,127.9,506.4,317.8,170.5,126,116.5,175.5,150.6,144.9,,,,,,
,2013,181.3,184.5,323.5,158.2,236.3,150.1,147.9,100.1,79.1,30.2,44.1,33.7,86.6,,,,,,
,2014,110.1,112.6,190.2,129.9,353.1,243,177.7,61.3,43.6,38.8,52.5,2.3,65.4,,,,,,
,2015,53.4,213.3,295.4,83.1,202.9,559.2,129.7,26.6,5,61.6,17.6,72.5,69.7,,,,,,
,2016,254.3,119.4,44.8,31,71.9,125.3,268.4,203,34.6,26.7,22.9,76.4,30.3,,,,,,
,2017,119.8,270.3,535.9,179.5,269.2,120.5,270,100.7,82.9,63.5,58.3,151.6,128.2,,,,,,
,2018,112.2,100,303.8,410.5,149.9,168.5,271.7,207.4,88.9,11.8,26.1,112.9,71.8,,,,,,
,2019,260.9,251.5,339.6,168.6,167.9,266.5,407.7,248.4,150.1,289.3,34.2,11.2,19.7,,,,,,
,2021,178.8,416.4,324.7,114.2,68.8,68.8,51.2,38.3,180.9,298.5,79.6,51.8,120.9,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,RHI27,RHI28,RHI29,RHI30,RHI31,RHI32,RHI33,RHI34,RHI35,RHI36,RHI37,RHI38,RHI39,,,,,,
,1998,92.66666667,100,98.85714286,97,91.85714286,91.42857143,89.71428571,91.66666667,91.66666667,91.57142857,91.14285714,91.66666667,91,,,,,,
,2000,95.42857143,95.14285714,94.42857143,91.57142857,89,94.83333333,92.28571429,96.42857143,97.57142857,94.14285714,89.42857143,92,88,,,,,,
,2001,95.71428571,96.42857143,93,96.57142857,95.57142857,92.85714286,96.14285714,94.85714286,91.71428571,81.71428571,80.14285714,86.71428571,87.85714286,,,,,,
,2002,89,92.6,92.66666667,88.2,94.2,95,94.2,91.42857143,87.42857143,93,83.33333333,80.28571429,77.5,,,,,,
,2003,95.85714286,93.71428571,93.14285714,93.14285714,95.71428571,95.14285714,95.57142857,92.85714286,92.14285714,92.28571429,93,87.57142857,91.85714286,,,,,,
,2004,91.14285714,92,91.28571429,91.14285714,92,91,92.14285714,92.28571429,92,90.57142857,91.28571429,92.28571429,91,,,,,,
,2005,94,96,97,98,97,98,97,96,94,96,97,96,93,,,,,,
,2006,94.42857143,97.71428571,96.42857143,96.85714286,95.42857143,98,97.85714286,95.42857143,95.14285714,94,96,95.85714286,95.71428571,,,,,,
,2008,93.52976191,95.45,94.60119048,94.06071429,93.84642857,94.5327381,94.36428571,93.86904762,92.70833333,91.66071429,90.16666667,90.29761905,89.49107143,,,,,,
,2009,93.38180272,94.84387755,94.01785714,93.99642857,94.82295918,94.9332483,95.3255102,93.81802721,92.16241496,91.31887755,90.13265306,89.85884354,89.48852041,,,,,,
,2010,92.85714286,91.71428571,94.14285714,90,88.85714286,88.85714286,92.71428571,92.14285714,92.28571429,91.71428571,92.14285714,92.28571429,90.14285714,,,,,,
,2011,92.71428571,93.28571429,90.71428571,92.28571429,95.57142857,88.57142857,92.85714286,92.57142857,92.71428571,91.85714286,91.42857143,93.42857143,90.28571429,,,,,,
,2012,90.85714286,90.71428571,92.28571429,87.28571429,84.14285714,93.42857143,90.85714286,91.85714286,93.85714286,90.28571429,90.85714286,91.28571429,88.85714286,,,,,,
,2013,92.42857143,93.14285714,92.85714286,91.42857143,90.28571429,92.71428571,92.57142857,90.42857143,88,90.14285714,91.28571429,90.57142857,89.85714286,,,,,,
,2014,91.42857143,91.28571429,87.42857143,92,90.57142857,93.71428571,90.14285714,90.71428571,94,90.57142857,89.14285714,90.57142857,92.57142857,,,,,,
,2015,83.71428571,86.85714286,89.14285714,89.42857143,89.28571429,90.57142857,89.57142857,90.28571429,90.42857143,87.57142857,91.42857143,92.28571429,87.71428571,,,,,,
,2016,88,83.71428571,92.28571429,90.28571429,88.57142857,85.14285714,86,90.14285714,94,88.14285714,87.57142857,88.42857143,93.85714286,,,,,,
,2017,84.14285714,88.85714286,89.71428571,85.57142857,87.14285714,89.71428571,86.85714286,96.33333333,92.48175634,91.42671614,91.89734075,92.24799011,90.73840445,,,,,,
,2018,88.28571429,89.14285714,88.42857143,85.71428571,83.14285714,86.71428571,90.57142857,89,90.28571429,88.85714286,86.85714286,86,87.42857143,,,,,,
,2019,88.57142857,94,94,88.71428571,85.14285714,88.14285714,89.85714286,85,90.85714286,91.14285714,90,91.14285714,90.85714286,,,,,,
,2021,88.57142857,94,94,88.71428571,85.14285714,88.14285714,89.85714286,85,90.85714286,91.14285714,90,91.14285714,90.85714286,,,,,,
