Year,Kodagu,Mysuru,Shimoga,Udupi,UK,Davangere,DK,Hassan,Ballari,Belgavi,Chikkamagalur
1986,2560,3248,2440,,1570,,2285,2623,2715,1538,2322
1987,2339,2798,2041,,1513,,2408,1646,2602,1448,2062
1988,2064,2663,2289,,1917,,2379,2156,2506,2441,2244
1989,2636,2924,2258,,1825,,2174,2242,2479,1707,2351
1990,2504,2860,2529,,2121,,2173,2302,3117,1667,2235
1991,2879,1968,2619,,2457,,2242,2479,2704,2457,2879
1992,2709,3217,2619,,1999,,2061,2744,2433,2343,2336
1993,2705,3068,2819,,2012,,2132,2818,2829,2248,2660
1994,2938,3463,3077,,2231,,2108,2926,2406,1801,2461
1995,2728,3337,2745,,2223,,2125,2810,3242,1481,2267
1996,2465,3241,2774,,2050,,2289,2422,3202,2001,2344
1997,2596,3074,2844,,1628,,2217,2923,2989,1988,2518
1998,2340,3223,2850,2039,2058,3443,2220,2465,3341,2302,2404
1999,2675,3184,2767,1904,1902,3484,2276,2995,3582,2438,2376
2000,2643,3187,2785,2356,1936,3725,2355,2578,3454,2282,2646
2001,2838,3373,2024,2477,1462,3579,2410,2718,3397,1050,2393
2002,2085,2860,2134,2371,1498,3114,2503,1602,3535,589,2066
2003,2158,3153,2375,2768,2046,3305,2670,1937,4002,751,2086
2004,2565,3319,2649,2706,2172,3261,2456,2085,3607,1991,2569
2005,2611,3119,2722,2796,2285,3323,2614,2399,3220,2566,2715
2006,2644,2886,2664,2823,2274,3545,2760,2501,3245,1563,2649
2007,2826,3146,2804,2692,1946,3212,2471,2524,3899,1684,2773
2008,2655,3123,2755,2468,1807,3492,2673,2556,3835,1436,2649
2009,2746,3259,2706,2591,2189,3577,2401,2759,3246,1282,2766
2010,2775,3284,2790,2445,1999,3550,2601,3111,3830,2087,2784
2011,3031,3414,3366,2722,2252,3717,2837,3238,3937,2699,2926
2012,2691,3511,3055,2672,2288,3978,2747,2921,4249,1703,2642
2013,2900,3669,3539,2844,2758,3787,2934,3417,4233,2682,3023
2014,3126,3556,3513,2941,2446,3691,2761,3338,3956,3096,2765
2015,3052,3574,2921,2699,1908,4135,2867,3155,4029,660,2859
2016,2548,2900,2314,2904,2088,3422,3375,3011,4367,1846,2744
2017,2649,3040,2745,3250,2332,3680,2947,3378,4522,2410,2773
2018,2948,3166,2669,3101,2194,3187,3154,2482,4256,2655,2532
2019,2695,3314,2893,3032,2403,3514,3022,3101,4571,2637,2649
2020,2643,3028,2763,2900,2140,3726,2900,2489,4433,2743,2666
